epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8045,1.21174,3.89315,1.09727,0.00102,0.08333,0.0012,0.00061,0.8857,4.36358,1.06026,4.287e-05,4.287e-05,4.287e-05
2,30.4053,0.90582,3.5928,0.95486,0.00104,0.08333,0.05056,0.04461,0.673,4.12598,0.92979,9.90397e-05,9.90397e-05,9.90397e-05
3,44.9065,0.98384,2.92004,0.96382,0.00316,0.33333,0.20251,0.17358,0.73681,3.94435,0.90383,0.000154078,0.000154078,0.000154078
4,59.9234,0.82245,2.08661,0.8542,0.00343,0.33333,0.33167,0.28994,0.791,3.79566,0.86985,0.000207984,0.000207984,0.000207984
5,74.6987,0.85147,1.70107,0.86281,0.00381,0.33333,0.33167,0.27939,0.85479,3.76497,0.87117,0.000260758,0.000260758,0.000260758
6,89.7095,0.82778,1.57487,0.84394,0.00393,0.33333,0.33167,0.28493,0.86641,3.77053,0.87561,0.000312401,0.000312401,0.000312401
7,104.211,0.81596,1.46147,0.84675,0.00439,0.33333,0.33167,0.27647,0.90817,3.74341,0.91363,0.000362912,0.000362912,0.000362912
8,118.77,0.85693,1.45833,0.85713,0.00519,0.33333,0.33167,0.27692,0.87782,3.7324,0.9154,0.000412291,0.000412291,0.000412291
9,132.826,0.77131,1.30963,0.86902,0.005,0.33333,0.33167,0.2817,0.77447,3.70919,0.91305,0.000460538,0.000460538,0.000460538
10,147.034,0.78955,1.28262,0.86354,0.00491,0.33333,0.33167,0.29169,0.78548,3.67959,0.94285,0.000507654,0.000507654,0.000507654
11,161.439,0.82904,1.39207,0.8858,0.00892,0.33333,0.2481,0.21973,0.75974,3.74825,0.91955,0.000553637,0.000553637,0.000553637
12,175.347,0.7466,1.25649,0.87367,0.00737,0.33333,0.33167,0.29651,0.82432,3.57525,0.95464,0.000598489,0.000598489,0.000598489
13,189.658,0.77194,1.14726,0.85124,0.00698,0.33333,0.33167,0.28593,0.91004,3.48366,0.97583,0.00064221,0.00064221,0.00064221
14,203.67,0.72887,1.12681,0.8612,0.00833,0.33333,0.33167,0.2971,0.84758,3.42746,0.96925,0.000684798,0.000684798,0.000684798
15,217.831,0.74821,1.10081,0.8725,0.00665,0.33333,0.33167,0.29049,0.82072,3.47352,0.95436,0.000726255,0.000726255,0.000726255
16,231.634,0.77866,1.15341,0.88,0.00644,0.33333,0.33167,0.30275,0.76764,3.42557,0.95371,0.00076658,0.00076658,0.00076658
17,245.903,0.71561,1.14428,0.85413,0.00613,0.33333,0.33167,0.29673,0.75042,3.36273,0.95094,0.000805773,0.000805773,0.000805773
18,259.848,0.72155,1.08042,0.84924,1,0.32996,0.3345,0.30507,0.89075,3.10451,0.96428,0.000843835,0.000843835,0.000843835
19,274.228,0.69409,0.98153,0.85724,1,0.30057,0.38,0.32617,0.93159,3.01307,0.97049,0.000880764,0.000880764,0.000880764
20,288.182,0.69557,0.97651,0.84872,1,0.30929,0.38,0.32404,0.99647,2.92687,1.00012,0.000916562,0.000916562,0.000916562
21,302.164,0.70226,0.94949,0.83641,0.98897,0.33333,0.57408,0.40952,0.84744,2.71705,0.95626,0.000951228,0.000951228,0.000951228
22,316.291,0.70952,0.97626,0.85657,0.97572,0.33333,0.64636,0.44513,0.75954,2.65511,0.93451,0.000984762,0.000984762,0.000984762
23,330.397,0.71381,1.02776,0.85989,0.98066,0.33333,0.65296,0.38175,0.80939,2.56372,0.94522,0.00101717,0.00101717,0.00101717
24,344.166,0.77124,1.01748,0.87773,0.99127,0.33333,0.82917,0.52708,0.83575,2.45589,0.93254,0.00104844,0.00104844,0.00104844
25,358.3,0.71141,0.98017,0.84516,0.9903,0.33333,0.995,0.70276,0.8119,2.31412,0.91791,0.00107857,0.00107857,0.00107857
26,372.061,0.72487,0.95886,0.88491,0.9765,0.33333,0.995,0.67473,0.76325,2.14093,0.91989,0.00107532,0.00107532,0.00107532
27,385.932,0.66021,0.91288,0.82603,0.97899,0.50294,0.995,0.6491,0.84342,1.86839,0.94709,0.00106118,0.00106118,0.00106118
28,399.673,0.66402,0.88445,0.86402,0.9746,0.63197,0.995,0.60241,0.84847,1.71374,0.95241,0.00104703,0.00104703,0.00104703
29,413.492,0.68232,0.9473,0.85977,0.97278,0.64768,0.995,0.63489,0.82265,1.65921,0.95765,0.00103288,0.00103288,0.00103288
30,427.175,0.65795,0.86269,0.83572,0.96034,0.66667,0.995,0.64674,0.848,1.51278,0.96855,0.00101873,0.00101873,0.00101873
31,441.221,0.69059,0.84523,0.8644,0.94175,0.66667,0.995,0.63844,0.79142,1.42675,0.95449,0.00100459,0.00100459,0.00100459
32,455.147,0.64012,0.82301,0.86215,0.9254,0.66667,0.995,0.63381,0.76841,1.36199,0.95214,0.00099044,0.00099044,0.00099044
33,468.784,0.69004,0.84218,0.86197,0.93803,0.66667,0.995,0.6587,0.77863,1.37781,0.94376,0.000976293,0.000976293,0.000976293
34,482.53,0.65662,0.86883,0.85184,0.94146,0.66667,0.995,0.66273,0.79059,1.40173,0.93745,0.000962146,0.000962146,0.000962146
35,496.387,0.68864,0.88525,0.84842,0.94313,0.66667,0.995,0.70041,0.7196,1.40205,0.9351,0.000947999,0.000947999,0.000947999
