epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7971,1.16557,4.64459,1.14761,0.0038,0.5,0.00821,0.00629,0.96701,4.96241,0.86199,0.0001429,0.0001429,0.0001429
2,85.8489,0.82452,3.05226,0.91852,0.00764,1,0.85374,0.56997,0.50902,4.39188,0.74185,0.000297119,0.000297119,0.000297119
3,123.762,0.78008,2.12034,0.91275,0.00376,0.375,0.02389,0.01644,0.47301,4.52788,0.74763,0.000448226,0.000448226,0.000448226
4,161.439,0.63126,1.92147,0.87669,0.01218,0.625,0.36204,0.33764,0.47457,4.4213,0.75341,0.00059622,0.00059622,0.00059622
5,197.366,0.6498,1.76778,0.8586,0.03683,0.8125,0.77713,0.72973,0.44998,4.20121,0.73591,0.000741102,0.000741102,0.000741102
6,233.671,0.67854,1.84884,0.89817,0.01829,0.9375,0.88256,0.79763,0.50115,4.10342,0.75827,0.000882872,0.000882872,0.000882872
7,270.641,0.79084,1.88452,0.91554,0.01128,0.875,0.7011,0.63073,0.49992,4.20508,0.76692,0.00102153,0.00102153,0.00102153
8,307.157,0.62236,1.44153,0.86653,1,0.7121,0.92838,0.84674,0.54158,3.58369,0.7652,0.00115707,0.00115707,0.00115707
9,343.059,0.62643,1.60199,0.88206,1,0.8096,0.995,0.88316,0.53432,2.94651,0.76279,0.00128951,0.00128951,0.00128951
10,379.309,0.66894,1.41568,0.89473,0.92794,0.80535,0.97365,0.87751,0.48173,2.62498,0.77007,0.00130168,0.00130168,0.00130168
11,416.85,0.60742,1.31246,0.84966,0.99349,1,0.995,0.89664,0.45093,2.25464,0.77882,0.00128753,0.00128753,0.00128753
12,455.102,0.52311,1.29459,0.84416,0.9983,0.9375,0.99147,0.89882,0.41709,1.91626,0.7671,0.00127338,0.00127338,0.00127338
13,492.666,0.59177,1.19024,0.87085,0.9979,1,0.995,0.91471,0.40475,1.57941,0.76951,0.00125923,0.00125923,0.00125923
14,532.884,0.51366,1.12853,0.85365,0.99702,1,0.995,0.91557,0.43946,1.47882,0.78154,0.00124509,0.00124509,0.00124509
15,570.124,0.52522,1.02256,0.85077,0.99565,1,0.995,0.93764,0.39264,1.41377,0.7727,0.00123094,0.00123094,0.00123094
16,606.424,0.48745,1.05684,0.86106,0.99687,1,0.995,0.9297,0.35891,1.34481,0.76891,0.00121679,0.00121679,0.00121679
17,642.74,0.47759,0.98778,0.8358,1,0.99491,0.995,0.92582,0.39617,1.36372,0.77327,0.00120265,0.00120265,0.00120265
18,679.302,0.48969,0.97623,0.84746,0.99555,0.9375,0.943,0.89395,0.41114,1.25382,0.7666,0.0011885,0.0011885,0.0011885
19,715.967,0.47641,0.84635,0.83984,0.99209,0.9375,0.98553,0.96231,0.34401,1.12747,0.76191,0.00117435,0.00117435,0.00117435
20,753.139,0.49184,0.80287,0.83191,0.99628,0.9375,0.94441,0.88446,0.39108,1.11772,0.77427,0.00116021,0.00116021,0.00116021
21,789.429,0.45301,0.80529,0.83093,0.99611,0.9375,0.94763,0.9319,0.32907,1.11082,0.77091,0.00114606,0.00114606,0.00114606
22,825.84,0.48778,0.79861,0.84723,0.99635,0.9375,0.935,0.88367,0.37196,1.12583,0.775,0.00113191,0.00113191,0.00113191
23,862.176,0.46304,1.02883,0.79734,0.99441,0.9375,0.935,0.88058,0.34521,1.11756,0.77151,0.00111776,0.00111776,0.00111776
24,898.791,0.44673,1.02217,0.75923,0.99659,0.9375,0.9386,0.85215,0.39478,1.00068,0.78222,0.00110362,0.00110362,0.00110362
25,935.052,0.47798,0.74073,0.83124,0.99664,0.9375,0.935,0.89921,0.35782,0.91778,0.77844,0.00108947,0.00108947,0.00108947
26,971.847,0.43601,0.72471,0.82487,0.99598,0.9375,0.94293,0.90158,0.35233,1.0005,0.7768,0.00107532,0.00107532,0.00107532
27,1008.39,0.42647,0.68031,0.84218,0.99627,0.9375,0.95962,0.92426,0.32268,0.93011,0.77709,0.00106118,0.00106118,0.00106118
28,1044.92,0.4561,0.72599,0.84288,0.9954,1,0.995,0.94865,0.3163,0.7313,0.76614,0.00104703,0.00104703,0.00104703
29,1081.78,0.44352,0.6819,0.81756,0.99563,1,0.995,0.94212,0.34284,0.70291,0.76457,0.00103288,0.00103288,0.00103288
