epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8141,1.08173,6.85465,0.00382,0.00036,0.01667,0.00033,0.0003,1.10588,8.75871,0.00407,0.00012861,0.00012861,0.00012861
2,83.2496,1.01107,5.44963,0.00334,0.00312,0.2,0.04074,0.0292,1.29386,8.15748,0.00411,0.000268822,0.000268822,0.000268822
3,123.438,1.04836,5.34776,0.00307,0.00475,0.325,0.1663,0.15009,1.05705,7.21721,0.0028,0.000406205,0.000406205,0.000406205
4,163.89,1.08001,4.83303,0.00272,0.00488,0.325,0.17547,0.16353,0.9538,7.04641,0.00228,0.000540758,0.000540758,0.000540758
5,204.6,1.14822,4.41791,0.00275,0.00581,0.31667,0.11141,0.09961,1.01167,6.95798,0.0024,0.000672482,0.000672482,0.000672482
6,244.808,1.12546,3.99008,0.00251,0.0066,0.325,0.29315,0.26474,1.11775,6.64645,0.00299,0.000801376,0.000801376,0.000801376
7,284.681,1.16008,3.39076,0.00234,0.00717,0.45333,0.39082,0.31896,1.01016,6.10348,0.00263,0.000927441,0.000927441,0.000927441
8,325.319,1.15457,3.30298,0.00259,0.75029,0.42128,0.57118,0.45065,0.98734,5.42137,0.00311,0.00105068,0.00105068,0.00105068
9,366.033,1.09269,3.33772,0.0025,1,0.12879,0.63231,0.49003,0.8903,4.96785,0.00279,0.00117108,0.00117108,0.00117108
10,438.829,1.13666,2.94969,0.00246,0.91708,0.46779,0.66794,0.4928,0.92127,4.64868,0.00286,0.00128866,0.00128866,0.00128866
11,509.453,1.11084,2.86819,0.00249,0.8472,0.54828,0.63418,0.48486,0.8308,4.33915,0.00217,0.00128753,0.00128753,0.00128753
12,578.879,1.04466,2.67306,0.00224,0.84009,0.53123,0.65758,0.48456,0.86832,4.0242,0.00247,0.00127338,0.00127338,0.00127338
13,652.885,1.03629,2.47576,0.00227,0.76799,0.60667,0.68832,0.52211,0.81391,3.78708,0.00224,0.00125923,0.00125923,0.00125923
14,725.62,1.03011,2.41161,0.00238,0.57352,0.7097,0.68,0.54019,0.75969,3.19803,0.00229,0.00124509,0.00124509,0.00124509
15,797.17,0.99562,2.39974,0.0022,0.53561,0.65202,0.69421,0.54761,0.74598,2.98599,0.00193,0.00123094,0.00123094,0.00123094
16,868.06,1.03459,2.26559,0.00216,0.53297,0.74833,0.7095,0.52914,0.85474,2.87658,0.00248,0.00121679,0.00121679,0.00121679
17,940.19,0.98827,2.13163,0.00208,0.53156,0.69833,0.72359,0.55712,0.79384,2.77281,0.00231,0.00120265,0.00120265,0.00120265
18,1012.52,0.94454,2.09898,0.0021,0.5339,0.8,0.71448,0.54195,0.75695,2.62747,0.00201,0.0011885,0.0011885,0.0011885
19,1082.96,0.95658,1.98074,0.00198,0.57271,0.81144,0.72156,0.55305,0.75557,2.56824,0.00218,0.00117435,0.00117435,0.00117435
20,1155.6,0.92363,1.96171,0.00209,0.5957,0.79289,0.75933,0.57773,0.82886,2.37186,0.00261,0.00116021,0.00116021,0.00116021
21,1225.59,0.91364,1.7352,0.00196,0.64598,0.81778,0.7931,0.6047,0.78287,2.34823,0.00214,0.00114606,0.00114606,0.00114606
22,1295.57,0.91895,1.67763,0.00181,0.67161,0.84444,0.81757,0.62009,0.79421,2.09877,0.00254,0.00113191,0.00113191,0.00113191
23,1369.13,0.94926,1.59894,0.00199,0.71512,0.8155,0.84884,0.62986,0.77849,2.04454,0.00206,0.00111776,0.00111776,0.00111776
24,1442.51,0.91552,1.59689,0.00211,0.77927,0.83865,0.86606,0.63999,0.77344,1.84053,0.00224,0.00110362,0.00110362,0.00110362
25,1514.18,0.88934,1.51908,0.00175,0.8556,0.82443,0.91111,0.6871,0.70111,1.77192,0.00187,0.00108947,0.00108947,0.00108947
26,1587.71,0.94153,1.42378,0.0019,0.86695,0.82983,0.93545,0.67505,0.74133,1.75072,0.00221,0.00107532,0.00107532,0.00107532
27,1665.8,0.92967,1.48725,0.00221,0.87679,0.89778,0.93896,0.68337,0.72536,1.67776,0.00255,0.00106118,0.00106118,0.00106118
28,1742.09,0.91663,1.29055,0.00197,0.86658,0.90388,0.94587,0.68178,0.73658,1.54758,0.00192,0.00104703,0.00104703,0.00104703
29,1816.85,0.87792,1.3062,0.0018,0.91133,0.89157,0.95433,0.67943,0.81733,1.45759,0.00236,0.00103288,0.00103288,0.00103288
30,1889.59,0.88386,1.29229,0.0018,0.89222,0.8201,0.94581,0.70889,0.70766,1.45675,0.0018,0.00101873,0.00101873,0.00101873
31,1962.05,0.86559,1.21745,0.00174,0.89571,0.87403,0.95229,0.72369,0.71121,1.36549,0.00225,0.00100459,0.00100459,0.00100459
32,2040.38,0.88108,1.16644,0.00185,0.91737,0.90771,0.96326,0.72654,0.74059,1.31088,0.00237,0.00099044,0.00099044,0.00099044
33,2120.45,0.90616,1.17656,0.00205,0.90337,0.94184,0.96816,0.73763,0.69675,1.24285,0.00181,0.000976293,0.000976293,0.000976293
34,2193.35,0.90497,1.11043,0.00191,0.92476,0.90537,0.96202,0.74982,0.6571,1.16085,0.0016,0.000962146,0.000962146,0.000962146
35,2263.98,0.86969,0.97592,0.00179,0.92413,0.88097,0.96182,0.72694,0.78901,1.16268,0.00228,0.000947999,0.000947999,0.000947999
36,2336.91,0.8079,0.97711,0.00176,0.91341,0.93846,0.95683,0.72275,0.77718,1.13812,0.00227,0.000933851,0.000933851,0.000933851
37,2408.68,0.82735,0.94356,0.00174,0.9112,0.93102,0.95612,0.75016,0.66292,1.08809,0.00179,0.000919704,0.000919704,0.000919704
38,2479.01,0.83236,0.96732,0.00165,0.88474,0.96373,0.96033,0.67994,0.79301,1.10351,0.00199,0.000905557,0.000905557,0.000905557
39,2548.41,0.85765,0.93687,0.00176,0.93518,0.91682,0.96743,0.76779,0.59754,1.03153,0.00174,0.00089141,0.00089141,0.00089141
40,2622.68,0.85107,1.09128,0.00187,0.91503,0.91906,0.96,0.76423,0.59655,1.02884,0.00164,0.000877263,0.000877263,0.000877263
41,2701.17,0.80821,0.87146,0.00157,0.89736,0.93138,0.95738,0.767,0.59509,1.01397,0.0016,0.000863116,0.000863116,0.000863116
42,2773.38,0.81979,0.89134,0.00172,0.94325,0.92931,0.96036,0.74143,0.65722,0.94787,0.00181,0.000848969,0.000848969,0.000848969
43,2848.3,0.82442,0.87022,0.00167,0.95342,0.93889,0.95793,0.73992,0.63285,0.89243,0.00174,0.000834822,0.000834822,0.000834822
44,2919.79,0.8289,0.82851,0.00171,0.91484,0.92765,0.95935,0.74378,0.66562,0.87233,0.00186,0.000820675,0.000820675,0.000820675
45,2989.1,0.80476,0.88987,0.00161,0.91389,0.9357,0.96151,0.74015,0.62956,0.85985,0.00171,0.000806528,0.000806528,0.000806528
46,3059.52,0.79186,0.79311,0.0016,0.92913,0.93172,0.96247,0.74396,0.67493,0.84312,0.00174,0.00079238,0.00079238,0.00079238
47,3133.44,0.74816,0.74667,0.0015,0.95106,0.91679,0.96639,0.74361,0.65581,0.84556,0.00185,0.000778233,0.000778233,0.000778233
48,3208.65,0.82182,0.73839,0.00167,0.95923,0.919,0.96946,0.75578,0.63231,0.81073,0.00165,0.000764086,0.000764086,0.000764086
49,3285.08,0.79784,0.7419,0.00156,0.93901,0.91328,0.97075,0.74368,0.68311,0.77646,0.00166,0.000749939,0.000749939,0.000749939
50,3362.58,0.78153,0.70939,0.00164,0.93862,0.95225,0.96967,0.76531,0.61049,0.76984,0.00169,0.000735792,0.000735792,0.000735792
51,3435.13,0.80174,0.70199,0.00156,0.97467,0.92779,0.97339,0.73913,0.70753,0.73166,0.00175,0.000721645,0.000721645,0.000721645
52,3520.08,0.8252,0.65916,0.00168,0.8751,0.95556,0.96957,0.75763,0.66695,0.70363,0.00181,0.000707498,0.000707498,0.000707498
53,3600.73,0.76084,0.65403,0.00155,0.87255,0.97778,0.96862,0.74592,0.69287,0.72206,0.00211,0.000693351,0.000693351,0.000693351
54,3676.88,0.77432,0.66801,0.00172,0.85307,0.97778,0.97043,0.75944,0.66748,0.71369,0.00181,0.000679204,0.000679204,0.000679204
55,3752.59,0.81335,0.6379,0.0016,0.90544,0.92607,0.96726,0.76035,0.64676,0.70984,0.0017,0.000665057,0.000665057,0.000665057
56,3825.04,0.78988,0.61366,0.00175,0.92772,0.91587,0.9646,0.76783,0.6294,0.63941,0.00175,0.000650909,0.000650909,0.000650909
57,3901.44,0.73751,0.6263,0.00162,0.92222,0.93603,0.96622,0.75255,0.65716,0.63271,0.00167,0.000636762,0.000636762,0.000636762
