epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9508,1.08632,8.72146,0.00487,0.00033,0.04167,0.00018,0.00012,0.69016,12.5589,0.00335,8.335e-05,8.335e-05,8.335e-05
2,44.4084,0.82862,7.65537,0.00358,0.00019,0.04167,0.00012,0.0001,0.47147,12.0815,0.00237,0.000181555,0.000181555,0.000181555
3,65.5724,0.68566,7.0279,0.00297,0.00033,0.08333,0.00023,0.00018,0.35833,11.9013,0.00168,0.000277779,0.000277779,0.000277779
4,86.5295,0.67304,6.47063,0.00275,0.00046,0.125,0.03038,0.02278,0.36816,11.8567,0.00178,0.000372023,0.000372023,0.000372023
5,108.043,0.70555,6.35708,0.00346,0.00107,0.29167,0.22019,0.15744,0.42695,11.7342,0.00209,0.000464286,0.000464286,0.000464286
6,130.012,0.68054,7.17877,0.00315,0.00094,0.25,0.15643,0.14038,0.47984,11.7214,0.00247,0.000554569,0.000554569,0.000554569
7,151.564,0.66639,5.27231,0.00272,0.00059,0.16667,0.05385,0.0446,0.44972,11.6321,0.00254,0.000642872,0.000642872,0.000642872
8,172.866,0.64457,6.36904,0.00329,0.00045,0.125,0.04697,0.04675,0.51248,11.5628,0.00269,0.000729194,0.000729194,0.000729194
9,193.515,0.61347,5.57065,0.00323,0.00105,0.29167,0.11987,0.10248,0.56499,11.4227,0.00305,0.000813536,0.000813536,0.000813536
10,214.421,0.63104,5.99837,0.00295,0.00202,0.54167,0.28742,0.26165,0.43844,10.8106,0.00253,0.000895897,0.000895897,0.000895897
11,235.028,0.59883,4.93974,0.00272,0.91536,0.16667,0.56994,0.53122,0.4001,10.1491,0.00225,0.000976279,0.000976279,0.000976279
12,255.869,0.67996,4.82925,0.00283,1,0.3721,0.79749,0.73846,0.40297,9.53658,0.00208,0.00105468,0.00105468,0.00105468
13,276.906,0.61449,4.697,0.00262,1,0.47453,0.93667,0.83149,0.42933,9.25036,0.00225,0.0011311,0.0011311,0.0011311
14,297.294,0.6702,4.19962,0.0028,1,0.3328,0.93648,0.76308,0.74514,9.46416,0.00402,0.00120554,0.00120554,0.00120554
15,317.25,0.63658,4.47496,0.00301,1,0.33027,0.92505,0.79043,0.53499,9.10451,0.0029,0.001278,0.001278,0.001278
16,337.219,0.60557,4.5621,0.00243,0.94725,0.58333,0.94775,0.83313,0.59364,8.26976,0.00292,0.00134848,0.00134848,0.00134848
